provider_code,specialty_code,n_obs,rho
NT417,C_130,24,0.569913715571267
NT30A,C_101,24,0.5703584937022879
RWD,X06,24,0.5708752132022032
RCB,C_160,24,0.571538837938372
RDE,C_400,24,0.5718194996840911
RTE,X04,24,0.5721325713537472
NT302,C_100,16,0.572311421986213
RJ7,C_100,24,0.5726356520875033
RWW,C_120,24,0.5732690897086529
RWJ,C_430,24,0.5734172776565316
Q1S8W,C_130,15,0.5747397870320021
NT325,C_110,24,0.5752201064770839
NVC25,X06,19,0.5752417794970985
RTE,C_110,24,0.5760915670511569
RGT,X04,24,0.5765927106010458
ACG08,C_130,24,0.5769099660572421
RMP,C_300,24,0.5774013436442065
RKE,C_100,24,0.5774413624643754
RTR,C_502,24,0.577607590956878
RBL,X02,24,0.5776276602658873
RTR,C_330,24,0.5776345549569052
NT417,C_301,24,0.5778363426612686
NVC07,C_301,21,0.5789610324042421
NT304,C_100,16,0.5791792484511579
RAL,C_170,14,0.5794980162194457
ACG24,C_130,24,0.5805079241393614
T8V3L,C_130,24,0.5807431709107909
NVC01,C_301,24,0.5808480626448094
RLT,C_100,24,0.5810101780265626
RN5,X06,24,0.5821012630014409
ACG31,C_130,24,0.5821142711415351
RPA,X04,24,0.5826802228200461
RHW,C_140,24,0.5827137523380734
NT204,C_100,20,0.5829282654070811
RXW,C_101,24,0.5831133064923982
NVM,C_120,24,0.5838358682147777
RTG,C_150,24,0.5839169310569109
NT233,C_301,24,0.5847694263612087
NT233,X06,24,0.5850784571867396
RAE,C_430,24,0.5852248736286453
NT333,C_110,24,0.5858015859511956
RQX,X05,24,0.5862976511857565
RL1,X06,24,0.5863060077112866
RXN,X04,24,0.5863558818421731
NT320,C_100,24,0.5872331949307353
RWW,C_300,24,0.5873288799944109
RRK,X03,24,0.5879275076739073
NTPAD,C_320,21,0.5880044801598973
RHW,C_101,24,0.5886595892524835
RCU,C_140,24,0.588707072235458
RN5,C_320,24,0.5887472550982519
NT337,C_100,24,0.5889643236767264
NT403,C_320,14,0.5909589293177241
RJR,C_140,24,0.5910912252739572
NAM01,C_100,24,0.5913031929555977
RHW,C_340,24,0.5915527508559201
RJL,C_150,17,0.5918640302493726
NVC27,C_110,24,0.5921839161796306
RDE,C_430,24,0.5922895130375816
RGP,C_140,24,0.5923219549053035
R1D,C_320,24,0.5926735475829461
RRJ,C_300,24,0.5927514539869105
NYR,C_101,24,0.5929497358247576
TAD,X02,24,0.5930934521169866
NT405,X06,24,0.5933085337123807
RRV,C_430,24,0.5936641077123697
