provider_code,specialty_code,n_points,lag1_autocorrelation
NT3X3,C_150,24,0.6400306915180853
NT3X3,C_301,22,0.6042936381843704
NT3X3,C_320,24,0.15892002734108004
NT3X3,C_502,24,0.43009217483428913
NT3X3,X05,24,0.19074868827594946
NT401,C_100,24,0.973507213376474
NT401,C_110,24,0.938108716125623
NT401,C_301,24,0.6011727739291469
NT401,C_502,12,0.6333333333333334
NT402,C_100,24,0.7603962444209273
NT402,C_110,24,0.8001238386469454
NT402,C_130,24,0.8333879088006713
NT402,C_301,24,0.7610068699830828
NT402,X06,19,-0.09859154929577463
NT403,C_100,24,0.5419472004845449
NT403,C_101,24,0.7796539489190433
NT403,C_110,24,0.8862192031587177
NT403,C_120,24,0.34138260278499977
NT403,C_150,24,0.4499037503319582
NT403,C_301,24,0.7432309344858428
NT403,C_320,14,0.5909589293177241
NT403,C_502,24,0.9061127351132405
NT403,X06,24,0.6207607670433094
NT404,C_100,24,0.8306255307763939
NT404,C_101,24,0.6733750137695799
NT404,C_110,24,0.8689055546713915
NT404,C_120,24,0.9319399941281769
NT404,C_301,24,0.1129789677829863
NT404,C_502,24,0.841667971728412
NT404,X06,24,0.8032867520255988
NT405,C_100,24,0.5404169765808645
NT405,C_101,24,0.6059644942484045
NT405,C_110,24,0.5067565859539808
NT405,C_130,24,0.6904118357666061
NT405,C_301,24,0.25396615718781956
NT405,C_502,24,0.6036432949206837
NT405,X06,24,0.5933085337123807
NT406,C_100,24,0.6042166982848478
NT406,C_101,24,0.7976405142890527
NT406,C_110,24,0.6045918604287582
NT406,C_120,12,0.2567567567567567
NT406,C_130,24,0.691052512638944
NT406,C_150,24,0.6538453848446436
NT406,C_301,24,0.801386673098161
NT406,C_502,19,-0.2772973481490714
NT406,X06,24,0.5686209201869504
NT408,C_100,24,0.8441624368975078
NT408,C_101,24,0.25634259450975777
NT408,C_110,24,0.8236536854893383
NT408,C_130,24,0.2576606568468773
NT408,C_301,18,0.5242495337423386
NT408,X06,22,0.27083333333333326
NT409,C_100,24,0.6363012969209924
NT409,C_101,24,0.4669118932132051
NT409,C_110,24,0.6710878465071412
NT409,C_120,24,0.5553228355771059
NT409,C_150,22,-0.05000000000000002
NT409,C_301,24,0.6044898702552407
NT409,X06,24,0.7598741804605385
NT410,C_100,24,0.6387269554055388
NT410,C_101,24,0.7599202225156353
NT410,C_110,24,0.8705583614286845
NT410,C_301,24,0.8350488301732093
NT410,X06,24,0.316957350321121
NT411,C_100,24,-0.16899104036720405
NT411,C_101,22,0.3006660155180281
NT411,C_110,24,-0.28914844850445887
NT411,C_120,24,0.3224202685434892
NT411,C_130,24,-0.11261827363966818
NT411,C_301,24,-0.058631004967580724
NT411,C_502,24,0.051864226242183106
NT411,X06,24,-0.04545454545454547
NT412,C_100,24,0.8944329317854967
NT412,C_110,24,0.801452726029057
NT412,C_120,24,0.6092614230081794
NT412,C_130,24,0.6513754129558893
NT412,C_301,24,0.6915842652940344
NT412,C_320,15,0.5027725178273199
NT412,X06,24,0.6782802459969663
NT416,C_100,24,0.8171456570205814
NT416,C_101,18,0.7760606391854553
NT416,C_110,24,0.7687833214419035
NT416,C_130,24,0.45230338514513424
NT416,C_301,24,0.4324330169823097
NT416,C_502,24,0.8147509085020773
NT416,X06,24,0.4306896039904117
NT417,C_100,24,0.6925573834828493
NT417,C_101,24,0.6164096284758857
NT417,C_110,24,0.7043114589762138
NT417,C_130,24,0.569913715571267
NT417,C_301,24,0.5778363426612686
NT417,C_502,19,0.976374540459162
NT417,X06,21,0.6494499037635928
NT418,C_100,24,0.8089790238127467
NT418,C_101,24,0.7469104134137845
NT418,C_110,24,0.9023414410929805
NT418,C_301,24,0.7646774975726923
NT418,C_502,24,0.8847337474922508
NT418,X06,17,-0.2585047029117793
NT419,C_110,24,0.6396930459533208
NT419,X06,12,0.28260869565217395
NT420,C_100,24,0.8650565493893281
NT420,C_110,24,0.934482974648781
NT420,C_150,23,-0.047619047619047644
NT420,C_301,24,0.866192051327902
NT420,X06,24,0.22138857706576773
NT421,C_100,24,0.8105195747379601
NT421,C_101,24,0.7430363817624804
NT421,C_110,24,0.8220976455503901
NT421,C_120,17,0.6619569631389414
NT421,C_301,24,0.5060010793545648
NT421,C_502,24,0.6506612887292575
NT421,X06,19,0.5508163964175316
NT422,C_100,24,0.9156183900110272
NT422,C_101,24,0.9492862887709604
NT422,C_110,24,0.9073536976509684
NT422,C_130,24,0.8947663887573926
NT422,C_150,24,0.6183797578552895
NT422,C_301,24,0.8365612302321674
NT422,C_502,24,0.8727378332468659
NT422,X06,24,0.9230902874447826
NT423,C_100,24,0.7023682474661314
NT423,C_110,24,0.8373950456932061
NT423,C_502,24,0.7904774435706133
NT423,X06,24,0.765763078333474
NT424,C_100,24,0.7318810143246322
NT424,C_110,24,0.8021867031963418
NT424,C_150,24,0.6039479239959898
NT424,C_301,24,0.8591578830417137
NT427,C_100,24,0.8801408342718955
NT427,C_101,24,0.4541471841195139
NT427,C_110,24,0.8215808435156435
NT427,C_150,23,0.31645569620253156
NT427,C_301,24,0.50201088917311
NT427,C_320,13,-0.3161290322580645
NT427,C_502,24,0.8284905549153941
NT427,X06,24,0.27663580345927496
NT428,C_100,22,-0.009163261025810672
NT428,C_110,24,0.8289840591642996
NT428,C_301,24,0.8835102349549199
NT428,X06,13,-0.09090909090909094
NT429,C_100,14,0.2718549101414202
NT429,C_110,24,0.7137966227126866
NT429,C_502,14,0.40924550584944847
NT429,X06,17,-0.06666666666666667
NT430,C_100,24,0.7989099363578736
NT430,C_110,24,0.8279333196780535
NT430,C_120,13,0.2051148686657017
NT430,C_130,24,0.9609752101685702
NT430,C_301,24,0.7441986442583695
NT430,C_502,12,0.15249599391249266
NT431,C_100,24,0.8458332665547914
NT431,C_110,24,0.7649873282729248
NT431,C_130,21,0.39577039274924464
NT431,C_301,24,0.36746229472627484
NT431,X06,12,-0.09999999999999987
NT433,C_100,24,0.5064367199369931
NT433,C_110,24,0.9168436512865699
NT433,X06,24,0.44629651133514703
NT434,C_100,24,0.7083627269964007
NT434,C_110,24,0.934654607045053
NT434,C_301,24,0.8832333370692457
NT434,X06,21,0.18104722592497272
NT435,C_100,23,0.39271775131286674
NT435,C_101,23,0.5395584799778961
NT435,C_110,24,0.7759811371980974
NT435,C_502,21,0.6529628988863175
NT435,X06,24,0.6537937169294961
NT436,C_100,24,0.6568822647209732
NT436,C_101,24,0.7507698545031981
NT436,C_110,24,0.8925814271426753
NT436,C_130,24,0.7474535768280883
NT436,C_301,24,0.8163986353160683
NT436,C_502,23,0.6134866297083705
NT436,X06,24,0.8548040834457301
NT437,C_100,24,0.509549888231234
NT437,C_101,24,0.6894119126310961
NT437,C_110,24,0.694073877121223
NT437,C_150,20,0.46180130234622224
NT437,C_301,24,0.5681516731901269
NT437,C_502,20,0.8852459617030561
NT437,X06,24,0.7809902614766994
NT440,C_100,24,0.6158912067234937
NT440,C_110,24,0.7753129642688535
NT440,C_301,24,0.6125179649251651
NT440,C_400,17,-0.06666666666666667
NT440,C_502,24,0.9069885254943177
NT441,C_100,24,0.6174428657846033
NT441,C_110,24,0.845430851846586
NT441,C_150,24,0.8357998462739068
NT441,C_301,24,0.6614148620525462
NT441,C_502,24,0.771600217431354
NT441,X06,24,0.8122597355828797
NT443,C_100,24,0.5638416532732623
NT443,C_110,24,0.705400177724814
NT446,C_100,24,0.5387709002684801
NT446,C_101,24,0.47125885201457096
NT446,C_110,24,0.6480365337924731
NT446,C_130,24,0.7057191962560568
NT446,C_301,24,0.6242786767763665
NT446,X06,22,0.4624143315624607
NT447,C_100,24,0.8505379335658841
